RA,DEC
156.55167,40.290615
137.65562,36.394432
241.47824,45.708263
258.34036,40.149696
332.09885,34.478806
265.3447,41.305523
122.8274,38.408398
340.7837,25.132273
155.44385,45.13331
340.99973,25.031204
4.5337157,3.9604962
187.36867,55.874424
331.5713,34.192154
276.40817,39.82002
212.83585,53.925896
268.22647,76.02297
122.84178,29.811714
21.707136,33.449383
265.35443,39.411785
263.21008,39.835274
34.096622,29.45005
40.32689,32.774506
346.80255,22.896553
255.2429,23.910952
258.0111,65.36462
281.8796,55.04441
268.24072,71.82811
123.588066,36.447456
331.25815,33.410385
353.17206,33.794235
209.15279,49.36068
262.3119,32.60281
122.86788,36.359337
331.41934,33.99637
123.597336,37.59126
34.116875,31.01215
0.4477744,1.2552376
330.22833,15.5673485
135.4765,56.257225
4.5769153,1.9136496
108.15394,74.151794
258.14313,64.69585
109.97753,39.579826
145.84735,32.39933
209.1694,43.716675
265.39816,40.42552
331.82248,33.643814
262.3387,31.588718
241.50775,43.592606
268.3188,71.14209
268.35672,74.2358
283.04453,32.335846
130.12093,41.381554
332.01306,34.093098
147.38705,30.58592
353.31293,33.76618
130.13768,56.038467
187.568,56.88158
256.759,24.576447
7.808976,39.03711
160.88292,58.376408
161.6868,59.430534
119.72781,39.72374
108.195404,70.06593
187.57208,56.60164
34.342083,33.042423
226.41008,42.28763
277.76706,39.0305
268.37857,75.14661
283.1998,31.596235
209.22209,57.047947
187.60207,54.99507
133.82782,34.84134
11.868887,37.77288
113.67506,78.49
4.6354055,1.0580319
146.06644,40.40591
213.58508,52.609135
34.166622,35.74558
213.57957,53.719204
223.89331,54.040745
265.42633,42.800526
241.52007,55.565853
265.42923,56.42268
197.00006,57.00294
255.49162,23.855114
268.44965,76.90868
213.60426,40.472496
121.52702,75.50114
146.01187,31.525463
34.363384,29.691336
223.90285,46.537506
332.0717,15.171756
262.37537,40.576454
283.36365,40.646027
256.81213,40.0779
241.52902,57.138927
256.8163,26.881483
278.5447,39.267063
110.81776,46.552063
25.871897,7.4007215
283.52692,31.962019
110.1136,39.28224
262.39935,39.523144
197.04634,57.018238
331.60992,25.118645
110.13176,38.33497
108.26801,64.9329
25.883646,7.2681847
189.86473,55.260338
266.8727,39.887905
105.368324,68.18349
332.5708,14.285082
1.2626412,-0.54850644
1.067073,36.413315
223.75111,36.689453
220.4195,72.264824
0.29103497,7.30317
148.70055,30.818136
148.71724,30.99542
106.17155,42.20384
109.71124,76.10807
105.41355,68.210785
283.40433,40.236897
34.40555,35.613575
262.42966,31.476221
4.7542562,0.2961145
12.139399,37.88699
214.14732,52.51918
258.46976,76.356384
265.48526,57.302483
122.98252,36.00499
187.8278,56.426514
34.229393,31.599676
272.81915,76.12822
111.07941,46.858856
268.58017,73.48672
331.13657,26.959265
180.88988,57.126976
190.86658,55.382763
283.80096,31.390165
283.80893,31.103004
156.05579,45.570007
268.59012,73.484184
191.09932,55.494606
110.22437,36.94602
34.442886,31.910444
262.4391,31.673424
214.36021,52.49081
34.492188,30.334988
123.724884,30.665037
255.64444,40.278496
258.51523,79.34634
283.90472,31.945272
171.36974,68.65952
4.779103,3.5639422
109.823204,69.55619
283.92838,31.536398
4.7822294,5.7004704
146.34961,31.019386
33.641685,31.667192
262.45724,38.097546
343.32095,33.169693
214.31404,55.926483
189.59962,54.95335
111.29719,40.56914
224.01413,54.54941
214.3636,56.06969
214.38885,56.00805
214.40414,55.89542
17.923986,30.31659
146.26144,39.68837
209.3657,55.81436
25.79196,3.7886531
4.821324,2.8056693
190.6334,54.799355
146.2815,31.15389
109.9184,71.80278
199.03966,57.030342
188.13313,56.02382
18.00067,30.008707
188.1343,42.354916
268.654,71.78696
331.64267,21.604242
247.6427,60.540432
199.56812,57.266304
214.66817,55.425858
25.801939,3.6573207
33.85626,31.304089
146.32114,30.498327
188.14258,54.880318
350.31778,30.773357
241.5958,51.271324
268.6809,74.73234
281.55838,50.349453
188.1699,56.85331
331.64746,32.396328
223.84483,35.598663
238.9993,44.27168
0.05232297,7.3298526
281.63025,49.994854
156.61409,40.170307
241.60127,49.76335
281.69827,50.18486
34.519527,31.057962
224.05402,56.153675
214.95369,55.959892
332.64725,18.257048
333.31134,34.08631
224.06631,53.96296
265.59818,41.891075
146.51257,39.896652
282.029,50.97659
188.21292,43.04195
268.702,73.055695
4.860136,3.7112517
108.425735,69.295746
262.5423,33.735214
268.70386,74.83244
333.36795,34.340813
209.57512,55.015785
11.171749,38.718376
4.8626137,5.1347218
111.697235,39.65022
0.4895495,7.1440454
161.8732,59.05207
215.19604,55.816708
111.697655,39.649868
123.83326,37.744328
241.62668,50.554554
215.26434,55.22343
224.09041,45.67403
331.66373,27.469076
112.30791,39.2883
215.2908,55.159477
4.891114,7.6413126
283.31796,50.272793
241.62904,56.598717
268.7497,70.97137
283.39273,50.141724
283.66238,43.036987
157.28244,40.427685
213.9108,44.177094
213.51791,76.74155
255.87086,24.182283
215.40979,55.229904
283.8165,42.88139
255.87747,39.746487
241.63188,53.21932
262.57852,32.29735
283.85056,43.240864
283.85764,42.704517
34.569187,30.587605
262.57922,33.70516
265.68097,42.921738
283.94806,43.63179
191.39336,42.155853
105.26378,69.99332
202.11671,33.191593
19.871038,7.857357
259.6975,39.1428
165.57812,40.055912
283.99057,42.666183
241.6497,53.355934
146.66988,30.816029
284.04214,43.0834
188.42635,56.102093
284.07166,43.148067
255.91498,40.52349
284.1203,43.517548
106.60353,41.553146
263.57037,38.533703
268.77777,37.510635
215.66011,55.343952
26.097925,2.0039399
267.63556,43.477066
268.8089,37.692318
26.098139,2.0036304
215.71107,55.67483
284.26126,43.41471
4.930152,4.6062436
26.100706,7.48497
271.6636,44.720844
284.29926,42.88656
4.934197,7.9515853
215.75618,55.243732
188.50365,57.329975
26.106907,1.3151953
241.66661,49.4118
188.50716,55.18659
265.72446,42.75415
268.8144,66.90701
0.5010176,3.5593474
203.06044,59.69508
330.1613,29.620176
264.9718,38.019634
4.9451723,0.46215853
197.38904,56.10137
188.52312,55.63499
284.46823,43.564102
26.130396,7.5930386
215.90448,55.281914
284.50357,42.74435
265.21494,37.443775
284.52713,43.449406
215.93562,55.745815
215.93614,56.077827
4.958775,3.2580533
26.13515,2.746026
159.81918,40.35533
284.60297,42.549496
216.01334,55.296066
265.7376,41.415157
265.50372,37.303837
106.8115,74.28319
265.58215,38.296974
262.6577,39.22199
112.414246,40.175697
159.86275,59.492035
144.31352,71.88992
164.7443,40.588722
265.68893,37.060616
265.7218,37.672207
224.20341,44.1431
268.87936,71.36896
331.69977,33.08209
265.8155,37.1164
284.85956,42.705112
265.859,38.08572
111.40285,30.452799
241.70122,44.592243
284.91415,43.250626
332.72754,14.457229
38.896942,43.420425
332.7287,20.27524
285.0007,42.95271
331.70157,29.20465
216.95148,56.516933
146.78618,31.909163
266.26852,37.515778
359.20316,29.184864
146.79486,30.73118
158.19283,40.466366
34.65404,35.32902
146.87982,32.42579
0.5051416,4.352138
199.73586,55.62817
285.3129,42.91336
149.70078,29.978025
26.20391,5.0771604
5.056435,1.9201128
146.91858,37.397816
5.057834,0.7231372
111.52895,40.44917
209.93047,56.67644
34.68718,31.684958
241.73326,53.49772
123.19713,32.59728
276.70926,30.244854
276.7541,31.067556
108.06624,74.74447
240.92143,53.887943
34.704094,33.001812
259.21613,75.982025
205.8478,31.202717
274.01108,46.40074
268.97925,71.37675
219.04868,54.99333
5.0867505,5.634553
219.05319,55.615894
124.02985,30.335173
146.90317,29.82579
358.65326,29.786018
186.70065,66.9485
108.65537,70.43024
332.23282,20.10013
111.67142,29.744492
34.741703,30.615133
269.02075,79.71515
34.562,34.379482
273.99222,72.18645
161.95773,59.758827
105.405624,60.43173
269.03232,72.81722
262.80008,40.86254
269.03476,67.1769
131.20218,58.52087
34.580997,31.683277
259.3174,75.556175
112.74586,30.315983
332.79126,15.812978
158.99248,40.719612
26.179636,1.6236138
263.782,40.460114
112.73883,41.430065
26.302519,3.989373
112.77052,30.988499
277.69843,30.81489
277.75003,30.574585
5.1361923,18.881351
112.745964,41.209854
26.310959,4.064028
256.1406,26.05962
15.120103,36.99374
111.73669,29.739878
332.81268,17.428102
144.47348,71.81733
180.98245,56.86051
220.71062,78.089
181.37328,54.79084
330.12576,34.11691
112.777435,41.900887
124.09684,30.564922
269.07294,71.02661
108.70853,74.69346
159.24663,59.533276
26.319946,3.362273
34.792942,29.183752
16.941671,5.471593
256.17914,23.15143
332.82,16.044374
26.226488,4.256735
112.79428,41.153767
130.92525,56.632034
269.09943,60.650043
331.76123,24.757885
273.4181,38.01144
160.57278,59.710464
105.31629,23.908344
183.58719,36.537308
210.20486,56.487347
160.57314,59.7107
214.34212,55.81003
273.541,37.937687
124.117935,37.087963
34.816353,31.450693
241.82224,42.577065
123.309685,35.83769
159.35602,40.535725
331.76782,30.660192
5.349163,2.4081337
285.06714,49.81145
130.9801,42.25657
269.12158,71.58083
256.20374,39.9829
269.1236,71.12552
143.68784,33.773716
124.14153,37.388214
113.975426,41.391926
147.21617,29.819113
26.388493,7.6907935
330.01602,25.905512
256.23587,79.46681
108.81074,63.82245
147.23116,37.131336
273.99774,38.36357
112.037834,40.73427
274.1776,78.63952
193.34247,57.54106
224.41362,45.288525
256.21967,22.990477
332.86935,9.801683
5.393454,17.940302
274.0444,38.11638
256.22308,24.067036
262.89108,38.754704
332.8734,10.416785
274.13303,37.27328
331.69208,16.712294
270.3097,50.233532
147.34012,40.0116
269.50476,50.365883
241.85657,46.310825
332.8796,14.923207
144.22546,33.445618
274.22916,38.255295
108.84388,68.0161
124.17052,37.12156
131.06822,52.911865
124.17292,36.968426
359.20807,29.681614
1.4961042,-2.4423761
224.1163,36.097084
269.1851,67.28451
110.662346,76.06537
26.344328,1.4699547
262.9112,37.038567
113.07464,38.684074
110.66865,74.92
26.43615,12.13838
0.6482124,-1.914309
274.44482,37.12006
34.872814,31.385647
110.70949,63.331642
6.422162,32.670788
34.64187,31.558039
